COYOTEID,PAIRED,TISSUE,SECTION,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
SS63,NO,CLAW,ALL,177,suburban,suburban,2017/12,2017,12,SS,-24.03,8.59,43.6,14.3,0,0,F,1
SS64,NO,CLAW,ALL,178,suburban,suburban,NA,NA,NA,SS,-23.92,8.79,33.4,9.6,0,NA,M,1
SS65,NO,CLAW,ALL,179,suburban,suburban,2017/12,2017,12,SS,-22.59,9.49,43.5,14.8,0,0,M,1
SS66,NO,CLAW,ALL,180,urban,urban,2018/04,2018,4,SS,-20.9,9.45,43.1,14,0,1,M,1
SS67,NO,CLAW,ALL,181,suburban,suburban,2018/02,2018,2,SS,-22.89,9.33,43.4,14.8,0,1,M,1
SS68,NO,CLAW,ALL,182,suburban,suburban,2018/03,2018,3,SS,-21.84,8.2,43.7,14.6,0,1,F,1
SS69,NO,CLAW,ALL,183,urban,urban,2018/03,2018,3,SS,-21.59,8.88,43.3,14.8,0,1,F,1
SS70,NO,CLAW,ALL,184,urban,urban,2017/11,2017,11,SS,-23.64,7.95,41.8,14.3,0,0,M,0
SS71,NO,CLAW,ALL,185,urban,urban,NA,NA,NA,SS,-23.18,9.22,44.3,14.5,0,NA,F,NA
SS72,NO,CLAW,ALL,186,suburban,suburban,2018/01,2018,1,SS,-22.49,8.86,40.8,14,0,0,F,1
SS73,NO,CLAW,ALL,187,urban,urban,2018/03,2018,3,SS,-22.32,9.24,42.5,14.5,0,1,M,0
SS74,NO,CLAW,ALL,188,urban,urban,2018/04,2018,4,SS,-19.21,7.46,43.3,14.6,0,1,F,1
SS75,NO,CLAW,ALL,189,urban,urban,2018/04,2018,4,SS,-20.47,7.01,42.9,14.7,0,1,F,0
SS76,NO,CLAW,ALL,190,rural,rural,2018/05,2018,5,SS,-22.15,8.92,43.7,14.7,0,1,M,1
SS77,NO,CLAW,ALL,191,urban,urban,2018/04,2018,4,SS,-21.82,8.74,44.4,15.2,0,1,F,NA
SS78,NO,CLAW,ALL,192,urban,urban,2018/04,2018,4,SS,-21.08,8.88,43.8,14.8,0,1,M,NA
SS79,NO,CLAW,ALL,193,urban,urban,2018/10,2018,10,SS,-19.7,9.5,46.5,15.4,0,0,F,0
SS80,NO,CLAW,ALL,194,urban,urban,2019/06,2019,6,SS,-21.3,9.3,48.1,14.9,0,1,M,NA
SS81,NO,CLAW,ALL,195,urban,urban,2019/10,2019,10,SS,-19.9,9,44.1,14.8,0,0,M,0
SS82,NO,CLAW,ALL,196,urban,urban,2018/10,2018,10,SS,-19.3,8.6,46.6,16,0,0,F,0
