COYOTEID,TISSUE,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
SS22,CLAW,136,suburban,suburban,2018/02,2018,2,SS,-22,9.64,44,15.3,0,1,M,1
SS23,CLAW,137,suburban,suburban,2017/12,2017,12,SS,-22.64,9.46,43.9,15.1,0,0,M,1
SS24,CLAW,138,suburban,suburban,2018/01,2018,1,SS,-22.69,9.31,43.8,15.3,0,0,F,1
SS25,CLAW,139,suburban,suburban,2017/12,2017,12,SS,-22.86,8.32,36,12,0,0,M,1
SS26,CLAW,140,suburban,suburban,2017/12,2017,12,SS,-23,9.08,43.6,15.2,0,0,M,1
SS27,CLAW,141,suburban,suburban,2017/12,2017,12,SS,-23.16,10.47,42.9,14.5,0,0,F,0
SS28,CLAW,142,suburban,suburban,2017/12,2017,12,SS,-23.17,9.08,42.1,14,0,0,F,1
SS29,CLAW,143,suburban,suburban,2017/11,2017,11,SS,-23.14,9.44,44.1,15,0,0,F,0
SS30,CLAW,144,suburban,suburban,2018/01,2018,1,SS,-22.9,9.25,43.7,15.1,0,0,F,1
SS31,CLAW,145,suburban,suburban,2018/01,2018,1,SS,-22.52,8.85,43.3,14.9,0,0,M,1
SS32,CLAW,146,suburban,suburban,2018/01,2018,1,SS,-22.95,9.63,43.4,15,0,0,F,0
SS33,CLAW,147,suburban,suburban,2017/11,2017,11,SS,-22.78,8.6,44.6,15.1,0,0,F,0
SS34,CLAW,148,suburban,suburban,2017/12,2017,12,SS,-21.34,8.41,42.8,14.7,0,0,M,NA
SS35,CLAW,149,suburban,suburban,2017/10,2017,10,SS,-22.25,9.18,43,14.8,0,0,F,0
SS36,CLAW,150,suburban,suburban,2018/01,2018,1,SS,-21.85,8.26,43.3,15,0,0,F,1
SS37,CLAW,151,suburban,suburban,2017/12,2017,12,SS,-23.01,8.76,44.5,15,0,0,M,1
SS38,CLAW,152,suburban,suburban,2017/12,2017,12,SS,-22.33,9.05,43.8,15.2,0,0,M,1
SS39,CLAW,153,suburban,suburban,2017/12,2017,12,SS,-22.37,9.85,45,15.4,0,0,M,1
SS40,CLAW,154,suburban,suburban,2017/12,2017,12,SS,-23.33,9.64,45.4,15,0,0,M,1
SS41,CLAW,155,suburban,suburban,2017/12,2017,12,SS,-23.36,8.99,46,15.3,0,0,F,0
SS42,CLAW,156,suburban,suburban,2017/12,2017,12,SS,-23.12,7.94,44.4,15,0,0,M,0
SS43,CLAW,157,suburban,suburban,2017/12,2017,12,SS,-22.96,9.9,43.4,15,0,0,F,1
SS44,CLAW,158,suburban,suburban,2018/02,2018,2,SS,-23.52,9.21,44.5,15.3,0,1,F,0
SS45,CLAW,159,suburban,suburban,2017/12,2017,12,SS,-21.88,7.61,44.8,15.1,0,0,F,0
SS46,CLAW,160,suburban,suburban,2017/12,2017,12,SS,-22.64,9.66,44.5,15.4,0,0,M,1
SS47,CLAW,161,suburban,suburban,2017/12,2017,12,SS,-22.73,9.41,43.7,15.2,0,0,M,0
SS48,CLAW,162,suburban,suburban,2017/12,2017,12,SS,-22.04,8.87,44.2,15.4,0,0,M,1
SS49,CLAW,163,suburban,suburban,2017/12,2017,12,SS,-21.69,8.65,43.8,15.1,0,0,F,1
SS50,CLAW,164,suburban,suburban,2017/12,2017,12,SS,-23.74,7.78,44.3,15.1,0,0,M,0
SS51,CLAW,165,suburban,suburban,2017/12,2017,12,SS,-21.6,8.84,43.5,14.6,0,0,M,1
SS52,CLAW,166,suburban,suburban,2018/01,2018,1,SS,-23.93,9,45.1,15.1,0,0,F,0
SS53,CLAW,167,suburban,suburban,2018/01,2018,1,SS,-22.88,9.78,44.6,14.9,0,0,M,0
SS54,CLAW,168,suburban,suburban,2017/12,2017,12,SS,-23.35,8.51,45.3,15.2,0,0,F,0
SS55,CLAW,169,suburban,suburban,2018/01,2018,1,SS,-23.25,8.43,45.8,15.3,0,0,M,NA
